city,country,growth,latitude,longitude,population,year,continent,gdp_per_capita,ECI,hdi
amsterdam,netherlands,Developed economies,52.3666969,4.8945398,821752,2009,Western Europe,54503,1.30343,0.934
singapore,singapore,Developing economies,1.2831593,103.8530435,0,2009,South-eastern Asia,96553,1.86534,0.935
san francisco,united states,Developed economies,37.7749295,-122.4194155,870887,2009,Northern America,59928,1.75541,0.92
homer,united states,Developed economies,59.6425,-151.5483333,5697,2009,Northern America,59928,1.75541,0.92
são paulo,brazil,Developing economies,-23.5505199,-46.6333094,12252023,2009,South America,15662,0.608252,0.761
boston,united states,Developed economies,42.3600825,-71.0588801,673184,2009,Northern America,59928,1.75541,0.92
minnesota,united states,Developed economies,44.9374831,-93.2009998,0,2009,Northern America,59928,1.75541,0.92
wexford,united states,Developed economies,40.6266318,-80.0549768,0,2009,Northern America,59928,1.75541,0.92
moscow,russia,Transition economies,55.755826,37.6172999,12197596,2009,Eastern Europe,25767,0.852045,0.824
sunderland,united kingdom,Developed economies,54.906869,-1.383801,452934,2009,Northern Europe,44896,1.53259,0.92
los angeles,united states,Developed economies,34.0522342,-118.2436849,3884307,2009,Northern America,59928,1.75541,0.92
pretoria,south africa,Developing economies,-25.7478676,28.2292712,741651,2009,Southern Africa,13464,0.268797,0.705
toronto,canada,Developed economies,43.653226,-79.3831843,2956024,2009,Northern America,46723,1.05671,0.922
riverside,united states,Developed economies,33.9806005,-117.3754942,324722,2009,Northern America,59928,1.75541,0.92
santiago,chile,Developing economies,-33.4488897,-70.6692655,5613962,2009,South America,24249,0.0443139,0.847
sunderland,united kingdom,Developed economies,54.906869,-1.383801,452934,2009,Northern Europe,44896,1.53259,0.92
ventura,united states,Developed economies,34.2804923,-119.2945199,109592,2009,Northern America,59928,1.75541,0.92
timișoara,romania,Developed economies,45.7488716,21.2086793,315053,2009,Eastern Europe,26596,0.713669,0.816
kaunas,lithuania,Developed economies,54.8985207,23.9035965,290527,2009,Northern Europe,33253,0.675449,0.869
tallahassee,united states,Developed economies,30.4382559,-84.2807329,190894,2009,Northern America,59928,1.75541,0.92
