date,source,country,city,lat,lon,un_country,development_level,gdp_per_capita,gdp_volume,hdi,ECI,population,year,ted_total_per_city
2015-11-22T00:00:00Z,TED,china,nanjing,32.060255,118.796877,china,Developing economies,16782,2.32668E+13,0.758,0.691307,8230000,2015,19
2015-10-02T00:00:00Z,TED,argentina,santa fe,-31.6106578,-60.697294,argentina,Developing economies,20843,9.18033E+11,0.83,0.232335,489505,2015,5
2015-09-20T00:00:00Z,TED,china,dalian,38.914003,121.614682,china,Developing economies,16782,2.32668E+13,0.758,0.691307,3167000,2015,12
2015-01-23T00:00:00Z,TED,iran,shahin shahr,32.8796692,51.5465539,iran,Developing economies,21011,1.69506E+12,0.797,-0.158038,173329,2015,2
2015-04-17T00:00:00Z,TED,iran,kish,26.5324775,53.9867949,iran,Developing economies,21011,1.69506E+12,0.797,-0.158038,NA,2015,1
2015-01-29T00:00:00Z,TED,norway,oslo,59.9138688,10.7522454,norway,Developed economies,62183,3.28137E+11,0.954,1.09466,634293,2015,10
2015-01-09T00:00:00Z,TED,uganda,kampala,0.3475964,32.5825197,uganda,Developing economies,1945,80075755458,0.528,-0.512514,1507114,2015,9
2015-04-27T00:00:00Z,TED,united kingdom,leicester,52.6368778,-1.1397592,united kingdom,Developed economies,44896,2.9658E+12,0.92,1.53259,443760,2015,12
2015-04-24T00:00:00Z,TED,netherlands,leersum,52.0120583,5.4295484,netherlands,Developed economies,54503,9.33708E+11,0.934,1.30343,NA,2015,1
2015-04-14T00:00:00Z,TED,israel,jerusalem,31.768319,35.21371,israel,Developed economies,38868,3.38666E+11,0.906,1.3146,891977,2015,6
2015-03-14T00:00:00Z,TED,india,kharagpur,22.34601,87.2319753,india,Developing economies,7169,9.59684E+12,0.647,0.359807,NA,2015,4
2015-01-10T00:00:00Z,TED,spain,murcia,37.9922399,-1.1306544,spain,Developed economies,39037,1.81888E+12,0.893,0.777415,445212,2015,1
2015-03-28T00:00:00Z,TED,united states,honolulu,21.3069444,-157.8583333,united states,Developed economies,59928,1.94854E+13,0.92,1.75541,351792,2015,6
2015-02-20T00:00:00Z,TED,united states,missoula,46.8721284,-113.9940314,united states,Developed economies,59928,1.94854E+13,0.92,1.75541,90218,2015,1
