school_name,boro,language_classes,neighborhood,building_code,location,phone_number,school_email
Brooklyn High School for Law and Technology,K,Spanish,Bedford-Stuyvesant,K987,"1396 Broadway, Brooklyn NY 11221(40.688399, -73.920603)",718-919-1256,Vjohnson5@schools.nyc.gov
International High School at Prospect Heights,K,English,Crown Heights South,K440,"883 Classon Avenue, Brooklyn NY 11225(40.669805, -73.960689)",718-230-6333,ndecastro@schools.nyc.gov
Repertory Company High School for Theatre Arts,M,"French, Spanish",Midtown,M896,"123 West 43rd Street, Manhattan NY 10036(40.756089, -73.984381)",212-382-1875,mfram@schools.nyc.gov
Thurgood Marshall Academy for Learning and Social Change,M,Spanish,Central Harlem North,M970,"200-214 West 135th Street, Manhattan NY 10030(40.815237, -73.944299)",212-283-8055,pamoakoa@schools.nyc.gov
Brooklyn Frontiers High School,K,French,DUMBO-Downtown Brooklyn,K520,"112 Schermerhorn Street, Brooklyn NY 11201(40.690007, -73.989369)",718-722-4727,info@brooklynfrontiers.org
West End Secondary School,M,English,Lincoln Square,M837,"227-243 West 61st Street, Manhattan NY 10023(40.772608, -73.988338)",212-245-1506,wessadmissions@gmail.com
Bard High School Early College Queens,Q,"Arabic, Latin, Mandarin, Spanish",Hunters Point-Sunnyside,Q735,"30-20 Thomson Avenue, Long Island City NY 11101(40.744175, -73.937004)",718-361-3133,oramos@bhsec.bard.edu
Academy of Hospitality and Tourism,K,French,Flatbush,K465,"911 Flatbush Avenue, Brooklyn NY 11226(40.649602, -73.957173)",718-564-2580,smiller18@schools.nyc.gov
School for Classics High School,K,Spanish,East New York,K218,"370 Fountain Avenue, Brooklyn NY 11208(40.67002, -73.874537)",718-277-1069,DAfanadorSoukar@schools.nyc.gov
Institute for Collaborative Education (ICE),M,Spanish,Gramercy,M475,"345 East 15th Street, Manhattan NY 10003(40.732665, -73.98259)",212-475-7972,ICEadmissions@gmail.com
"Queens High School for Information, Research, and Technology",Q,Spanish,Far Rockaway-Bayswater,Q465,"8-21 Bay 25th Street, Far Rockaway NY 11691(40.601537, -73.763995)",718-868-2978,tworley@schools.nyc.gov
Explorations Academy,X,"French, Spanish",Crotona Park East,X098,"1619 Boston Road, Bronx NY 10460(40.836245, -73.890591)",718-893-6173,krodriguez10@schools.nyc.gov
Fiorello H. LaGuardia High School of Music & Art and Performing Arts,M,"French, Italian, Japanese, Spanish",Lincoln Square,M485,"100 Amsterdam Avenue, Manhattan NY 10023(40.774202, -73.985976)",212-496-0700,admissions@laguardiahs.org
Digital Arts and Cinema Technology High School,K,Spanish,DUMBO-Downtown Brooklyn,K293,"284 Baltic Street, Brooklyn NY 11201(40.685006, -73.993293)",718-694-9741,cfox7@schools.nyc.gov
Professional Pathways High School,K,Spanish,Sheepshead Bay,K495,"3000 Avenue X, Brooklyn NY 11235(40.593157, -73.936635)",718-332-6290,ddecamp@schools.nyc.gov
Life Academy High School for Film and Music,K,Spanish,Gravesend,K400,"2630 Benson Avenue, Brooklyn NY 11214(40.593028, -73.986313)",718-333-7750,EKelch@schools.nyc.gov
"Robert F. Wagner, Jr. Secondary School for Arts and Technology",Q,Spanish,Hunters Point-Sunnyside,Q891,"47-07 30th Place, Long Island City NY 11101(40.742217, -73.936442)",718-472-5671,svu@schools.nyc.gov
Bronx Academy of Health Careers,X,Spanish,Williamsbridge-Olinville,X425,"800 East Gun Hill Road, Bronx NY 10467(40.875172, -73.861649)",718-696-3340,DSantiago3@schools.nyc.gov
Eximius College Preparatory Academy: A College Board School,X,Spanish,Claremont-Bathgate,X002,"1363 Fulton Avenue, Bronx NY 10456(40.833884, -73.902794)",718-992-7154,JDaly7@schools.nyc.gov
