Country,Year,Number
Albania,2010,277
Albania,2011,284
Albania,2012,293
Albania,2013,302
Albania,2014,311
Albania,2015,320
Albania,2016,330
Albania,2017,339
Andorra,2010,14
Andorra,2011,13
Andorra,2012,13
Andorra,2013,13
Andorra,2014,13
Andorra,2015,13
Andorra,2016,14
Andorra,2017,14
Belarus,2010,952
Belarus,2011,941
Belarus,2012,906
Belarus,2013,896
Belarus,2014,894
Belarus,2015,894
Belarus,2016,901
Belarus,2017,926
Belgium,2010,1870
Belgium,2011,1857
Belgium,2012,1860
Belgium,2013,1858
Belgium,2014,1868
Belgium,2015,1911
Belgium,2016,1963
Belgium,2017,2022
Bosnia and Herzegovina,2010,380
Bosnia and Herzegovina,2011,389
Bosnia and Herzegovina,2012,396
Bosnia and Herzegovina,2013,406
Bosnia and Herzegovina,2014,419
Bosnia and Herzegovina,2015,427
Bosnia and Herzegovina,2016,438
Bosnia and Herzegovina,2017,448
Bulgaria,2010,1000
Bulgaria,2011,1017
Bulgaria,2012,1027
Bulgaria,2013,1038
Bulgaria,2014,1042
Bulgaria,2015,1024
Bulgaria,2016,1029
Bulgaria,2017,1034
Croatia,2010,732
Croatia,2011,753
Croatia,2012,770
Croatia,2013,772
Croatia,2014,808
Croatia,2015,829
Croatia,2016,799
Croatia,2017,808
Cyprus,2010,135
Cyprus,2011,139
Cyprus,2012,144
Cyprus,2013,148
Cyprus,2014,151
Cyprus,2015,156
Cyprus,2016,162
Cyprus,2017,169
Czech Republic,2010,1496
Czech Republic,2011,1488
Czech Republic,2012,1490
Czech Republic,2013,1499
Czech Republic,2014,1509
Czech Republic,2015,1516
Czech Republic,2016,1512
Czech Republic,2017,1572
Denmark,2010,1278
Denmark,2011,1258
Denmark,2012,1249
Denmark,2013,1254
Denmark,2014,1261
Denmark,2015,1289
Denmark,2016,1334
Denmark,2017,1385
England,2010,9774
England,2011,9895
England,2012,10084
England,2013,10363
England,2014,10445
England,2015,10711
England,2016,10894
England,2017,11075
Estonia,2010,219
Estonia,2011,220
Estonia,2012,229
Estonia,2013,235
Estonia,2014,242
Estonia,2015,241
Estonia,2016,235
Estonia,2017,241
Finland,2010,875
Finland,2011,891
Finland,2012,895
Finland,2013,912
Finland,2014,919
Finland,2015,944
Finland,2016,993
Finland,2017,1031
France,2010,10615
France,2011,10559
France,2012,10546
France,2013,10590
France,2014,10674
France,2015,11134
France,2016,11420
France,2017,11785
Georgia,2010,261
Georgia,2011,284
Georgia,2012,302
Georgia,2013,300
Georgia,2014,318
Georgia,2015,338
Georgia,2016,324
Georgia,2017,313
Germany,2010,13613
Germany,2011,13940
Germany,2012,14233
Germany,2013,14612
Germany,2014,14940
Germany,2015,15514
Germany,2016,15967
Germany,2017,16162
Greece,2010,1785
Greece,2011,1825
Greece,2012,1865
Greece,2013,1886
Greece,2014,1933
Greece,2015,2004
Greece,2016,2089
Greece,2017,2145
Hungary,2010,1093
Hungary,2011,1172
Hungary,2012,1203
Hungary,2013,1240
Hungary,2014,1273
Hungary,2015,1328
Hungary,2016,1291
Hungary,2017,1266
Iceland,2010,51
Iceland,2011,51
Iceland,2012,53
Iceland,2013,54
Iceland,2014,57
Iceland,2015,60
Iceland,2016,62
Iceland,2017,63
Ireland,2010,567
Ireland,2011,571
Ireland,2012,578
Ireland,2013,585
Ireland,2014,603
Ireland,2015,625
Ireland,2016,647
Ireland,2017,678
Italy,2010,8873
Italy,2011,8948
Italy,2012,8976
Italy,2013,8979
Italy,2014,9070
Italy,2015,9336
Italy,2016,9488
Italy,2017,9713
Latvia,2010,352
Latvia,2011,357
Latvia,2012,362
Latvia,2013,364
Latvia,2014,367
Latvia,2015,365
Latvia,2016,360
Latvia,2017,362
Luxembourg,2010,56
Luxembourg,2011,57
Luxembourg,2012,58
Luxembourg,2013,59
Luxembourg,2014,62
Luxembourg,2015,65
Luxembourg,2016,68
Luxembourg,2017,72
Malta,2010,40
Malta,2011,41
Malta,2012,42
Malta,2013,42
Malta,2014,43
Malta,2015,44
Malta,2016,47
Malta,2017,50
Montenegro,2010,69
Montenegro,2011,71
Montenegro,2012,72
Montenegro,2013,75
Montenegro,2014,76
Montenegro,2015,76
Montenegro,2016,76
Montenegro,2017,77
Netherlands,2010,2648
Netherlands,2011,2706
Netherlands,2012,2787
Netherlands,2013,2847
Netherlands,2014,2885
Netherlands,2015,3000
Netherlands,2016,3071
Netherlands,2017,3185
Norway,2010,1114
Norway,2011,1114
Norway,2012,1093
Norway,2013,1114
Norway,2014,1124
Norway,2015,1127
Norway,2016,1152
Norway,2017,1186
Poland,2010,4678
Poland,2011,4779
Poland,2012,4886
Poland,2013,4977
Poland,2014,5059
Poland,2015,5216
Poland,2016,5172
Poland,2017,5244
Portugal,2010,2008
Portugal,2011,2026
Portugal,2012,2048
Portugal,2013,2067
Portugal,2014,2102
Portugal,2015,2168
Portugal,2016,2250
Portugal,2017,2325
Romania,2010,2078
Romania,2011,2104
Romania,2012,2168
Romania,2013,2217
Romania,2014,2276
Romania,2015,2300
Romania,2016,2349
Romania,2017,2386
Russia,2010,9001
Russia,2011,8838
Russia,2012,9119
Russia,2013,9241
Russia,2014,9509
Russia,2015,9377
Russia,2016,9132
Russia,2017,9212
Scotland,2010,932
Scotland,2011,944
Scotland,2012,962
Scotland,2013,986
Scotland,2014,988
Scotland,2015,1032
Scotland,2016,1051
Scotland,2017,1070
Serbia,2010,1298
Serbia,2011,1313
Serbia,2012,1317
Serbia,2013,1320
Serbia,2014,1330
Serbia,2015,1346
Serbia,2016,1337
Serbia,2017,1337
Slovakia,2010,582
Slovakia,2011,596
Slovakia,2012,613
Slovakia,2013,628
Slovakia,2014,644
Slovakia,2015,663
Slovakia,2016,646
Slovakia,2017,651
Slovenia,2010,395
Slovenia,2011,403
Slovenia,2012,414
Slovenia,2013,421
Slovenia,2014,424
Slovenia,2015,437
Slovenia,2016,435
Slovenia,2017,447
Spain,2010,5099
Spain,2011,6622
Spain,2012,6659
Spain,2013,6685
Spain,2014,6781
Spain,2015,6852
Spain,2016,7024
Spain,2017,7209
Sweden,2010,2470
Sweden,2011,2439
Sweden,2012,2376
Sweden,2013,2403
Sweden,2014,2444
Sweden,2015,2469
Sweden,2016,2448
Sweden,2017,2479
Switzerland,2010,1385
Switzerland,2011,1377
Switzerland,2012,1381
Switzerland,2013,1406
Switzerland,2014,1438
Switzerland,2015,1474
Switzerland,2016,1505
Switzerland,2017,1515
