building_name,zipcode,total_inhabitants,latitude,longitude,NTA,yearbuilt
Not determined,10309,471,40.5343989,-74.239086,Crotona Park East,1920
"City of New York, Department of Public Charities",10314,669,40.5919147,-74.139069,Gravesend,1931
Not determined,10314,239,40.5971971,-74.138197,Ocean Hill,1970
John C. Siemer,10304,341,40.628607,-74.082925,Lincoln Square,1935
Not determined,11230,382,40.6306545,-73.959228,South Ozone Park,1901
Max Held,11230,527,40.6306918,-73.95897,Claremont-Bathgate,1910
R. M. Coleman,11230,427,40.6309144,-73.958794,Washington Heights North,1920
T. B. Ackerson Construction Company,11230,426,40.6315468,-73.96143,Murray Hill,1910
Herman Tapke,11230,423,40.6319045,-73.960148,Elmhurst,1910
John R. Corbin Company,11230,690,40.6335437,-73.960761,Park Slope-Gowanus,1905
Not determined,11230,674,40.634224,-73.961608,Bushwick South,1920
Henry Grattan,11226,197,40.6377111,-73.962942,Lower East Side,1910
Harry L. Horton,10301,374,40.6381701,-74.081512,Central Harlem North-Polo Grounds,1905
Thomas H. Radcliffe,11226,1182,40.6384578,-73.962204,Kew Gardens Hills,1900
Charles Osborne,11226,534,40.6385738,-73.96275,Queensbridge-Ravenswood-Long Island City,1910
Robert W. Zundel,11226,551,40.6393901,-73.960896,Van Cortlandt Village,1910
Christ Church,10301,452,40.6431602,-74.092665,Melrose South-Mott Haven North,1910
Sailors' Snug Harbor,10301,313,40.6445273,-74.102641,Fort Greene,1915
Not determined,11226,659,40.6450474,-73.965596,Rugby-Remsen Village,1900
Ruth A. Chesky,11226,241,40.645385,-73.966409,Gravesend,1910
Dean Alvord,11226,615,40.6453906,-73.965832,Lower East Side,1950
Charles Stillwell,11226,497,40.6456155,-73.964852,West Concourse,1910
Dean Alvord,11218,436,40.6459011,-73.96776,Park Slope-Gowanus,1905
Dean Alvord,11218,494,40.646186,-73.96859,Briarwood-Jamaica Hills,1899
Not determined,11218,462,40.6467732,-73.968795,Prospect Lefferts Gardens-Wingate,1899
